Campaign name,Age,Gender,Reach,Impressions,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),"Cost per 1,000 people reached",Purchases,Cost per purchase,Purchases Conversion Value,,
LIP GLOSS COMBO Conversions-Lumos,All,All,3231574,7242844,482437.42,66.61,0.61,44129,10.93,149.29,1035,466.12,831012.08,,
,18-24,All,1656124,3689824,106544.79,28.88,0.39,14483,7.36,64.33,,,,,
,,female,1656124,3689824,106544.79,28.88,0.39,14483,7.36,64.33,,,,,
,25-34,All,1277103,2959898,255958.48,86.48,0.74,21859,11.71,200.42,,,,,
,,female,1277103,2959898,255958.48,86.48,0.74,21859,11.71,200.42,,,,,
,35-44,All,239996,449114,95876.42,213.48,1.41,6339,15.12,399.49,,,,,
,,female,239996,449114,95876.42,213.48,1.41,6339,15.12,399.49,,,,,
,45-54,All,38054,63528,18247,287.23,1.65,1047,17.43,479.5,,,,,
,,female,38054,63528,18247,287.23,1.65,1047,17.43,479.5,,,,,
,Unknown,All,,48804,28.08,0.58,0.05,24,1.17,,,,,,
,,unknown,,48804,28.08,0.58,0.05,24,1.17,,,,,,
,65+,All,13192,17318,2369.38,136.82,1.05,182,13.02,179.61,,,,,
,,female,13192,17318,2369.38,136.82,1.05,182,13.02,179.61,,,,,
,55-64,All,6089,10470,3313.19,316.45,1.73,181,18.3,544.13,,,,,
,,female,6089,10470,3313.19,316.45,1.73,181,18.3,544.13,,,,,
,13-17,All,1015,3888,100.08,25.74,0.36,14,7.15,98.6,,,,,
,,female,1015,3888,100.08,25.74,0.36,14,7.15,98.6,,,,,
LIP GLOSS-Conversion-Lumos,All,All,2689602,6531410,432193.93,66.17,0.62,40687,10.62,160.69,1232,350.81,942533.55,,
,18-24,All,1305514,3287925,102811.81,31.27,0.46,15087,6.81,78.75,,,,,
,,female,1305514,3287925,102811.81,31.27,0.46,15087,6.81,78.75,,,,,
,25-34,All,1163983,2757782,242645.78,87.99,0.73,20063,12.09,208.46,,,,,
,,female,1163983,2757782,242645.78,87.99,0.73,20063,12.09,208.46,,,,,
,35-44,All,172255,348719,68442.51,196.27,1.25,4358,15.71,397.33,,,,,
,,female,172255,348719,68442.51,196.27,1.25,4358,15.71,397.33,,,,,
,45-54,All,30724,55830,13302.56,238.27,1.37,765,17.39,432.97,,,,,
,,female,30724,55830,13302.56,238.27,1.37,765,17.39,432.97,,,,,
,Unknown,All,,48080,19.75,0.41,0.06,28,0.71,,,,,,
,,unknown,,48080,19.75,0.41,0.06,28,0.71,,,,,,
,65+,All,11584,17062,2096.74,122.89,1.15,197,10.64,181,,,,,
,,female,11584,17062,2096.74,122.89,1.15,197,10.64,181,,,,,
,55-64,All,4533,10138,2713.08,267.62,1.54,156,17.39,598.52,,,,,
,,female,4533,10138,2713.08,267.62,1.54,156,17.39,598.52,,,,,
,13-17,All,1007,5874,161.68,27.53,0.56,33,4.9,160.56,,,,,
,,female,1007,5874,161.68,27.53,0.56,33,4.9,160.56,,,,,
FAB FACE-COMB0-NEW CAMPAIGN- Lumos(RULE),All,All,369687,523262,88822.39,169.75,2.46,12886,6.89,240.26,136,653.11,138029.47,,
,25-34,All,199176,283155,43345.66,153.08,2.44,6911,6.27,217.62,,,,,
,,female,199176,283155,43345.66,153.08,2.44,6911,6.27,217.62,,,,,
,35-44,All,69164,106891,27387.13,256.22,3.33,3556,7.7,395.97,,,,,
,,female,69164,106891,27387.13,256.22,3.33,3556,7.7,395.97,,,,,
,18-24,All,83944,104120,8296.08,79.68,1.3,1352,6.14,98.83,,,,,
,,female,83944,104120,8296.08,79.68,1.3,1352,6.14,98.83,,,,,
,45-54,All,13244,20445,6966.87,340.76,3.71,758,9.19,526.04,,,,,
,,female,13244,20445,6966.87,340.76,3.71,758,9.19,526.04,,,,,
,65+,All,2175,4498,1051.13,233.69,3.51,158,6.65,483.28,,,,,
,,female,2175,4498,1051.13,233.69,3.51,158,6.65,483.28,,,,,
,55-64,All,1983,4079,1771.91,434.4,3.68,150,11.81,893.55,,,,,
,,female,1983,4079,1771.91,434.4,3.68,150,11.81,893.55,,,,,
,13-17,All,,56,3.53,63.02,1.79,1,3.53,,,,,,
,,female,,56,3.53,63.02,1.79,1,3.53,,,,,,
,Unknown,All,,18,0.08,4.44,,,,,,,,,
,,unknown,,18,0.08,4.44,,,,,,,,,
CBO-LIP GLOSS COMBO Conversions-Lumos-20K,All,All,386738,438286,43126.6,98.4,0.67,2927,14.73,111.51,63,684.55,60622.26,,
