Campaign name,Age,Gender,Reach,Impressions,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),"Cost per 1,000 people reached",Purchases,Cost per purchase,Purchases Conversion Value
LIP GLOSS COMBO Conversions-Lumos,All,All,1680950,2880669,216555.9,75.18,0.75,21655,10,128.83,450,481.24,351680.47
,18-24,All,836381,1356272,34238.45,25.24,0.47,6335,5.4,40.94,,,
,,female,836381,1356272,34238.45,25.24,0.47,6335,5.4,40.94,,,
,25-34,All,669054,1211126,108246.81,89.38,0.85,10293,10.52,161.79,,,
,,female,669054,1211126,108246.81,89.38,0.85,10293,10.52,161.79,,,
,35-44,All,144557,255907,58038.89,226.8,1.61,4109,14.12,401.49,,,
,,female,144557,255907,58038.89,226.8,1.61,4109,14.12,401.49,,,
,45-54,All,21747,38723,12654.48,326.8,1.87,724,17.48,581.9,,,
,,female,21747,38723,12654.48,326.8,1.87,724,17.48,581.9,,,
,65+,All,6396,10108,1168.86,115.64,0.94,95,12.3,182.75,,,
,,female,6396,10108,1168.86,115.64,0.94,95,12.3,182.75,,,
,55-64,All,2559,5549,2162.3,389.67,1.71,95,22.76,844.98,,,
,,female,2559,5549,2162.3,389.67,1.71,95,22.76,844.98,,,
,Unknown,All,,1519,1.44,0.95,,,,,,,
,,unknown,,1519,1.44,0.95,,,,,,,
,13-17,All,256,1465,44.68,30.5,0.27,4,11.17,174.52,,,
,,female,256,1465,44.68,30.5,0.27,4,11.17,174.52,,,
FAB FACE-COMB0-NEW CAMPAIGN- Lumos(RULE),All,All,1210486,1857404,229167.42,123.38,1.62,30065,7.62,189.32,400,572.92,378303.08
,25-34,All,585282,981528,119827.9,122.08,1.72,16848,7.11,204.74,,,
,,female,585282,981528,119827.9,122.08,1.72,16848,7.11,204.74,,,
,18-24,All,425078,536650,21774.83,40.58,0.82,4398,4.95,51.23,,,
,,female,425078,536650,21774.83,40.58,0.82,4398,4.95,51.23,,,
,35-44,All,161483,278791,66001.87,236.74,2.52,7031,9.39,408.72,,,
,,female,161483,278791,66001.87,236.74,2.52,7031,9.39,408.72,,,
,45-54,All,28663,45498,16276.03,357.73,2.97,1351,12.05,567.84,,,
,,female,28663,45498,16276.03,357.73,2.97,1351,12.05,567.84,,,
,55-64,All,4351,7363,3844.49,522.14,3.38,249,15.44,883.59,,,
,,female,4351,7363,3844.49,522.14,3.38,249,15.44,883.59,,,
,65+,All,5630,7255,1431.41,197.3,2.54,184,7.78,254.25,,,
,,female,5630,7255,1431.41,197.3,2.54,184,7.78,254.25,,,
,13-17,All,,319,10.89,34.12,1.25,4,2.72,,,,
,,female,,319,10.89,34.12,1.25,4,2.72,,,,
LIP GLOSS-Conversion-Lumos,All,All,417173,636861,70067.69,110.02,0.88,5604,12.5,167.96,121,579.07,90642.89
,25-34,All,195760,312289,37626.44,120.49,0.94,2951,12.75,192.21,,,
,,female,195760,312289,37626.44,120.49,0.94,2951,12.75,192.21,,,
,18-24,All,173881,250577,11617.68,46.36,0.62,1555,7.47,66.81,,,
,,female,173881,250577,11617.68,46.36,0.62,1555,7.47,66.81,,,
,35-44,All,39024,62198,16532.49,265.8,1.47,917,18.03,423.65,,,
,,female,39024,62198,16532.49,265.8,1.47,917,18.03,423.65,,,
,45-54,All,6525,7812,3153.35,403.65,1.66,130,24.26,483.27,,,
,,female,6525,7812,3153.35,403.65,1.66,130,24.26,483.27,,,
,65+,All,1088,2276,402.4,176.8,0.92,21,19.16,369.85,,,
,,female,1088,2276,402.4,176.8,0.92,21,19.16,369.85,,,
,55-64,All,576,1288,724.78,562.72,2.17,28,25.89,1258.31,,,
,,female,576,1288,724.78,562.72,2.17,28,25.89,1258.31,,,
,13-17,All,320,371,10.44,28.13,0.54,2,5.22,32.61,,,
,,female,320,371,10.44,28.13,0.54,2,5.22,32.61,,,
,Unknown,All,,50,0.12,2.4,,,,,,,
,,unknown,,50,0.12,2.4,,,,,,,
FAB FACE COMBO Conversion-Lumos,All,All,249310,362362,66885.9,184.58,1.44,5202,12.86,268.28,98,682.51,98843.65
,25-34,All,123248,180207,30669.43,170.19,1.42,2556,12,248.84,,,
,,female,123248,180207,30669.43,170.19,1.42,2556,12,248.84,,,
,18-24,All,72337,95245,7235.67,75.97,0.8,764,9.47,100.03,,,
,,female,72337,95245,7235.67,75.97,0.8,764,9.47,100.03,,,
,35-44,All,41765,71001,22219.04,312.94,2.17,1543,14.4,532,,,
,,female,41765,71001,22219.04,312.94,2.17,1543,14.4,532,,,
,45-54,All,8570,10662,4829.15,452.93,2.16,230,21,563.49,,,
,,female,8570,10662,4829.15,452.93,2.16,230,21,563.49,,,
,65+,All,1599,2672,586.11,219.35,1.57,42,13.96,366.55,,,
,,female,1599,2672,586.11,219.35,1.57,42,13.96,366.55,,,
,55-64,All,1663,2547,1344.25,527.78,2.63,67,20.06,808.33,,,
,,female,1663,2547,1344.25,527.78,2.63,67,20.06,808.33,,,
,13-17,All,28,28,2.25,80.28,,,,80.28,,,
,,female,28,28,2.25,80.28,,,,80.28,,,
CHECK MATTE Conversion-Lumos,All,All,272112,322760,37685.21,116.76,0.89,2888,13.05,138.49,52,724.72,39804.94
,25-34,All,126397,148656,19690.41,132.46,0.96,1428,13.79,155.78,,,
,,female,124414,146103,19559.75,133.88,0.96,1397,14,157.22,,,
,,male,1983,2549,130.51,51.2,1.22,31,4.21,65.81,,,
,,unknown,,5,0.15,29.98,,,,,,,
,18-24,All,113924,132387,6645.79,50.2,0.59,783,8.49,58.34,,,
,,female,111685,130306,6596.31,50.62,0.59,770,8.57,59.06,,,
,,male,2075,2075,48.97,23.6,0.63,13,3.77,23.6,,,
,,unknown,,5,0.51,101.94,,,,,,,
,35-44,All,24627,32452,8714.28,268.53,1.58,514,16.95,353.85,,,
,,female,24499,32036,8674.03,270.76,1.58,505,17.18,354.06,,,
,,male,128,416,40.26,96.77,2.16,9,4.47,314.52,,,
